IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.118.124.84,443,true,FRA,Europe,Frankfurt,266 ms,1926 kB/s
34.65.221.128,443,true,FRA,Europe,Frankfurt,230 ms,1922 kB/s
34.118.11.228,443,true,FRA,Europe,Frankfurt,252 ms,1874 kB/s
34.116.205.19,443,true,FRA,Europe,Frankfurt,273 ms,1871 kB/s
34.90.250.142,443,true,FRA,Europe,Frankfurt,258 ms,1861 kB/s
34.65.11.196,443,true,FRA,Europe,Frankfurt,245 ms,1852 kB/s
34.118.100.60,443,true,FRA,Europe,Frankfurt,265 ms,1820 kB/s
35.198.184.185,443,true,FRA,Europe,Frankfurt,241 ms,1807 kB/s
34.118.25.79,443,true,FRA,Europe,Frankfurt,250 ms,1792 kB/s
34.154.197.206,443,true,FRA,Europe,Frankfurt,258 ms,1788 kB/s
34.116.147.141,443,true,FRA,Europe,Frankfurt,273 ms,1778 kB/s
34.90.108.106,443,true,FRA,Europe,Frankfurt,236 ms,1778 kB/s
34.116.177.76,443,true,FRA,Europe,Frankfurt,257 ms,1775 kB/s
34.159.30.150,443,true,FRA,Europe,Frankfurt,241 ms,1758 kB/s
34.118.123.180,443,true,FRA,Europe,Frankfurt,270 ms,1734 kB/s
34.118.46.250,443,true,FRA,Europe,Frankfurt,272 ms,1724 kB/s
34.116.171.235,443,true,FRA,Europe,Frankfurt,257 ms,1695 kB/s
34.32.230.208,443,true,FRA,Europe,Frankfurt,244 ms,1673 kB/s
34.118.49.212,443,true,FRA,Europe,Frankfurt,248 ms,1670 kB/s
34.88.63.160,443,true,FRA,Europe,Frankfurt,358 ms,1670 kB/s
34.118.9.165,443,true,FRA,Europe,Frankfurt,258 ms,1668 kB/s
34.118.8.36,443,true,FRA,Europe,Frankfurt,252 ms,1600 kB/s
34.116.189.128,443,true,FRA,Europe,Frankfurt,261 ms,1548 kB/s
34.118.103.40,443,true,FRA,Europe,Frankfurt,262 ms,1510 kB/s
34.159.147.132,443,true,FRA,Europe,Frankfurt,255 ms,1473 kB/s
34.116.189.111,443,true,FRA,Europe,Frankfurt,264 ms,1465 kB/s
34.105.3.218,443,true,SEA,North America,Seattle,198 ms,1379 kB/s
34.116.184.196,443,true,FRA,Europe,Frankfurt,270 ms,1352 kB/s
34.116.203.237,443,true,FRA,Europe,Frankfurt,262 ms,1324 kB/s
34.107.56.108,443,true,FRA,Europe,Frankfurt,249 ms,1282 kB/s
34.118.6.177,443,true,FRA,Europe,Frankfurt,253 ms,1235 kB/s
34.89.241.113,443,true,FRA,Europe,Frankfurt,256 ms,1228 kB/s
34.118.109.211,443,true,FRA,Europe,Frankfurt,262 ms,1183 kB/s
34.118.5.47,443,true,FRA,Europe,Frankfurt,264 ms,1167 kB/s
34.154.23.15,443,true,FRA,Europe,Frankfurt,241 ms,1160 kB/s
34.116.135.209,443,true,FRA,Europe,Frankfurt,257 ms,1087 kB/s
34.118.110.34,443,true,FRA,Europe,Frankfurt,264 ms,1086 kB/s
34.116.145.227,443,true,FRA,Europe,Frankfurt,264 ms,1060 kB/s
34.116.156.226,443,true,FRA,Europe,Frankfurt,273 ms,1039 kB/s
35.198.72.54,443,true,FRA,Europe,Frankfurt,241 ms,863 kB/s
34.116.233.114,443,true,FRA,Europe,Frankfurt,262 ms,771 kB/s
34.118.116.97,443,true,FRA,Europe,Frankfurt,262 ms,684 kB/s
34.154.169.50,443,true,FRA,Europe,Frankfurt,252 ms,649 kB/s
34.116.137.137,443,true,FRA,Europe,Frankfurt,249 ms,508 kB/s
34.116.202.71,443,true,FRA,Europe,Frankfurt,256 ms,432 kB/s
34.147.119.8,443,true,FRA,Europe,Frankfurt,260 ms,54 kB/s
34.118.61.152,443,true,FRA,Europe,Frankfurt,246 ms,0 kB/s
35.246.135.187,443,true,FRA,Europe,Frankfurt,235 ms,0 kB/s
34.154.101.147,443,true,FRA,Europe,Frankfurt,235 ms,0 kB/s
34.32.162.52,443,true,FRA,Europe,Frankfurt,254 ms,0 kB/s
34.118.112.163,443,true,FRA,Europe,Frankfurt,275 ms,0 kB/s
34.34.35.183,443,true,FRA,Europe,Frankfurt,250 ms,0 kB/s
34.118.18.2,443,true,FRA,Europe,Frankfurt,260 ms,0 kB/s
34.154.157.56,443,true,FRA,Europe,Frankfurt,246 ms,0 kB/s
34.116.141.181,443,true,FRA,Europe,Frankfurt,268 ms,0 kB/s
34.118.70.12,443,true,FRA,Europe,Frankfurt,265 ms,0 kB/s
34.89.188.183,443,true,FRA,Europe,Frankfurt,244 ms,0 kB/s
34.107.84.248,443,true,FRA,Europe,Frankfurt,234 ms,0 kB/s
